ID,Cursos,Promedio
3115,1,100
5714,19,75.2632
6517,1,94
7217,1,81
9017,1,80
10313,24,71.7083
10617,1,87
11516,3,89.3333
16417,1,86
16816,2,89.5
18516,2,88
19116,2,85.5
20910,27,76.1111
21417,1,88
21812,18,79.5556
25915,22,79.5
26111,26,73.4615
27715,20,85.8
28914,23,86.087
29313,27,75.7037
32517,1,98
34711,9,79.7778
37214,9,74.6667
45615,19,83.3158
50014,22,72.1818
50215,24,80.9583
51916,2,93.5
53016,1,68
55816,1,95
56112,22,78.8636
58514,23,75.1739
59116,2,85.5
60313,18,72.4444
62217,1,100
62915,1,91
62917,1,89
65813,20,72.3
67817,1,67
70117,1,85
71317,1,80
71717,1,93
71910,29,69.6552
76309,25,66.8
79316,2,92
79515,23,91.0435
80216,2,89
81600,5,58.4
82417,1,71
84517,1,95
85716,2,83.5
85816,1,90
86415,23,80.6087
89117,1,95
89915,9,75.5556
98913,29,74.5862
99513,18,70
99817,2,63
103916,1,95
104017,1,98
109117,1,94
114016,2,94.5
115814,4,73
117517,1,72
121115,23,91.2174
121714,15,77.1333
126017,1,91
126815,12,78.6667
129215,10,76.9
135516,1,92
135815,1,87
136617,1,94
145315,23,80.8261
145916,1,89
153512,20,83.7
158116,1,98
160916,2,94
167216,2,88.5
168315,4,78.5
169317,1,97
170917,1,92
171316,1,95
