ID,Cursos,Promedio
119,8,57.875
3115,16,56.0625
3519,4,80.5
5714,20,63.35
5718,8,68
6517,9,83.1111
7217,12,67.25
9017,9,81.4444
10313,16,69.125
10419,4,75.5
10617,13,61.9231
11516,13,72.0769
16417,9,74.3333
16816,12,81.3333
18419,5,68.4
18516,13,76.5385
19116,15,71.7333
20518,8,71.875
20618,8,77.25
20910,21,63.9048
21417,10,76.3
21812,7,69.8571
23718,8,65.5
23819,4,76.75
24718,8,70.25
25915,13,72.1538
26111,18,65.5
27715,12,77
28914,14,68.9286
29313,27,58.5185
29418,8,65.625
32118,4,65
32517,9,78.5556
33118,8,77.375
34711,19,58.4737
36618,6,62.1667
37214,23,60.0435
40319,5,60.6
40818,8,57.125
41119,6,64.8333
42419,2,61.5
42619,4,64.25
44418,9,76.5556
45615,17,69.7059
45718,5,66.4
47519,4,74.75
47918,7,63.5714
50014,19,68
50215,12,85.1667
51916,12,92.1667
52005,16,60.125
53016,11,58.6364
53919,7,60
55816,18,56.7222
55919,4,56.25
56112,15,66.9333
57719,4,86
58514,23,60.4348
58718,7,63.1429
59116,13,61.2308
59618,12,59
59918,9,66.4444
60313,17,61.1765
60918,10,73.2
61719,4,77.5
62217,9,86.8889
62915,10,54.1
62917,9,81.1111
64718,8,84
65813,18,65.6111
65918,9,74
67817,13,68.9231
69619,4,96.25
70117,9,77
71317,9,77.5556
71717,9,79.1111
71910,21,61.0952
72619,4,75.75
74512,5,61
76309,18,64.1667
76818,11,62.2727
78218,8,76.25
79316,12,81.6667
79515,12,91.25
80216,12,78.6667
81600,14,62.2857
81718,6,72.8333
82219,3,64.3333
82417,9,61.1111
84517,9,69.5556
85716,14,70.5
85816,12,76.5833
86415,13,71.2308
87118,10,71.8
89117,5,66.8
89915,18,62.8889
92518,8,84.875
94818,8,78.125
97019,4,86.5
97218,8,75.75
98819,4,77.75
98913,31,61
99513,8,66.625
99817,9,59.6667
103916,18,58.6667
104017,9,84.5556
106918,8,79
109117,12,69.4167
109419,6,64.6667
111719,4,74
113818,8,73
114016,12,74.75
114119,4,79.25
115219,4,79.25
115814,19,63.2632
117517,7,63.7143
119519,2,57
121115,12,94
121118,6,72.3333
121714,22,61.9545
123919,3,60.6667
125417,10,62.5
126017,11,66.4545
126815,15,69.4
127619,4,83.5
129215,18,64.7778
131119,4,69.5
132119,4,74.5
132519,4,75
132718,9,61
134819,3,54
135418,8,76.125
135516,16,65.25
135815,5,60.2
136119,5,63.2
136617,14,63.2857
137818,9,68.8889
140518,8,77.375
145315,15,72.5333
145916,22,59.3636
152418,7,61.8571
153512,23,62.2609
154618,8,72.375
158116,14,62.7857
160118,6,75.5
160916,13,73.5385
161918,11,64.0909
164619,6,58.8333
167216,12,79.3333
168315,15,69.2
169317,10,75.4
170019,1,41
170419,4,70
170917,13,65.7692
170919,4,87.25
171316,12,74.5
172819,4,86.5
173219,5,62.2
