ID,Cursos,Promedio
3115,4,61.75
5714,1,66
6517,4,90.75
7217,4,83
9017,4,87.25
10617,3,65
11516,4,79.75
16417,4,84
16816,3,80.6667
18516,3,87.3333
19116,4,85.75
20618,2,83
21417,4,79
21812,1,78
26111,2,55
29418,2,68.5
32517,4,77
33118,2,83.5
34711,1,89
37214,1,82
44418,2,80.5
50014,1,84
51916,3,92.6667
52005,2,62
53016,4,66
55816,1,48
58514,2,61
59918,2,73
60918,2,81.5
62217,4,89.75
62917,4,83.5
64718,1,99
65813,1,67
65918,1,93
67817,2,79
70117,4,83.5
71317,4,80.25
71717,4,80.25
71910,1,45
76309,1,100
76818,1,65
79316,3,91
80216,3,74
81600,20,59.5
82417,1,70
84517,5,69
85716,3,75.3333
85816,3,83.6667
89915,6,73.3333
92518,2,70.5
103916,2,59.5
104017,4,87
106918,2,77
109117,3,79.3333
114016,3,75.6667
115814,3,70
117517,2,67.5
121118,2,65.5
125417,1,68
126017,2,70.5
126815,1,65
129215,4,70
135418,2,82.5
135516,3,62
135815,2,53.5
136617,4,72.75
140518,2,72
145916,4,63.75
158116,6,61.5
160916,5,71.8
167216,3,76.3333
168315,2,80.5
169317,4,82.5
170917,4,77.5
171316,4,80.25
