"","ID","item"
"1",1901,"Primer Ciclo- "
"2",1901,"Primer Ciclo- CIENCIAS BASICAS"
"3",1901,"Primer Ciclo- CIENCIAS BASICAS"
"4",1901,"Primer Ciclo- CIENCIAS BASICAS"
"5",1902,"Interciclo- CIENCAS DE INGENIERIA"
"6",1902,"Interciclo- CIENCIAS BASICAS"
"7",1501,"Primer Ciclo- "
"8",1501,"Primer Ciclo- CIENCIAS BASICAS"
"9",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"10",1601,"Primer Ciclo- CIENCIAS BASICAS"
"11",1502,"Interciclo- CIENCAS DE INGENIERIA"
"12",1702,"Interciclo- CIENCIAS BASICAS"
"13",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"14",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"15",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"16",1801,"Primer Ciclo- CIENCIAS BASICAS"
"17",1802,"Interciclo- "
"18",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"19",1803,"Segundo Ciclo- PROFESIONAL"
"20",1402,"Interciclo- CIENCAS DE INGENIERIA"
"21",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"22",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"23",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"24",1502,"Interciclo- CIENCIAS BASICAS"
"25",1503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"26",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"27",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"28",1702,"Interciclo- OTROS"
"29",1801,"Primer Ciclo- CIENCIAS BASICAS"
"30",1801,"Primer Ciclo- CIENCIAS BASICAS"
"31",1801,"Primer Ciclo- CIENCAS DE INGENIERIA"
"32",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"33",1901,"Primer Ciclo- OTROS"
"34",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"35",1901,"Primer Ciclo- "
"36",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"37",1801,"Primer Ciclo- CIENCIAS BASICAS"
"38",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"39",1901,"Primer Ciclo- CIENCIAS BASICAS"
"40",1302,"Interciclo- CIENCAS DE INGENIERIA"
"41",1302,"Interciclo- "
"42",1402,"Interciclo- CIENCIAS BASICAS"
"43",1403,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"44",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"45",1303,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"46",1502,"Interciclo- INGENIERIA APLICADA"
"47",1601,"Primer Ciclo- OTROS"
"48",1603,"Segundo Ciclo- OTROS"
"49",1703,"Segundo Ciclo- OTROS"
"50",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"51",1803,"Segundo Ciclo- INGENIERIA APLICADA"
"52",1801,"Primer Ciclo- CIENCIAS BASICAS"
"53",1801,"Primer Ciclo- "
"54",1801,"Primer Ciclo- CIENCIAS BASICAS"
"55",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"56",1901,"Primer Ciclo- CIENCIAS BASICAS"
"57",1902,"Interciclo- PROFESIONAL"
"58",1701,"Primer Ciclo- CIENCIAS BASICAS"
"59",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"60",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"61",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"62",1901,"Primer Ciclo- CIENCAS DE INGENIERIA"
"63",1901,"Primer Ciclo- CIENCIAS BASICAS"
"64",1902,"Interciclo- CIENCAS DE INGENIERIA"
"65",1601,"Primer Ciclo- CIENCAS DE INGENIERIA"
"66",1602,"Interciclo- CIENCAS DE INGENIERIA"
"67",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
