anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),89,89.0,4,1901,Primer Ciclo 2019,,18002,1,21.0,1,1ra. convocatoria
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),65,65.0,4,1901,Primer Ciclo 2019,,18002,1,21.0,2,2da. convocatoria
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20976,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS,88,88.0,2,1901,Primer Ciclo 2019,,18002,1,2.0,1,1ra. convocatoria
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,65,65.0,6,1901,Primer Ciclo 2019,MATEMATICA (CIENCIAS BASICAS),18002,1,1.0,2,2da. convocatoria
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,65,65.0,6,1901,Primer Ciclo 2019,QUÍMICA (CIENCIAS BASICAS),18002,1,1.0,2,2da. convocatoria
19,119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,70.5,67.07,6,67.75,65.38999938964844,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,65,65.0,4,1902,Interciclo 2019,MATEMÁTICA (CIENCIAS BASICAS),18001,1,8.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),76,76.0,4,1501,Primer Ciclo 2015,,13001,1,22.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),65,65.0,4,1501,Primer Ciclo 2015,,13001,1,22.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21207,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS (11001),100,100.0,2,1501,Primer Ciclo 2015,INFORMÁTICA (INGENIERÍA APLICADA),13001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20987,MATEMATICA I (11001),69,69.0,6,1503,Segundo Ciclo 2015,MATEMÁTICA (CIENCIAS BASICAS),13001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,378,MAGIS LANDIVARIANO (CFI),85,85.0,2,1502,Interciclo 2015,,13001,1,41.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20995,INTRODUCCION A LA PROGRAMACION (11001),73,73.0,6,1503,Segundo Ciclo 2015,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20988,QUIMICA I (11001),70,70.0,6,1503,Segundo Ciclo 2015,QUÍMICA (CIENCIAS BASICAS),13001,1,1.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,344,DESARROLLO DEL SER HUMANO (CFI),97,97.0,4,1601,Primer Ciclo 2016,,13001,1,24.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20990,MATEMATICA II (11001),65,65.0,4,1601,Primer Ciclo 2016,MATEMÁTICA (CIENCIAS BASICAS),13001,1,1.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,342,ESTRATEGIAS BASICAS DE INVESTIGACION (CFI),81,81.0,4,1602,Interciclo 2016,,13001,1,23.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21208,MATEMATICA DISCRETA I (11001),65,65.0,4,1602,Interciclo 2016,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),13001,1,2.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,348,¿QUIEN FUE JESUS DE NAZARET? (CFI),82,82.0,4,1701,Primer Ciclo 2017,,13001,3,51.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,340,ESTRATEGIAS DE RESOLUCION DE PROBLEMAS (CFI),100,100.0,4,1701,Primer Ciclo 2017,,13001,1,11.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,346,JUVENTUD Y VIDA SALUDABLE (CFI),94,94.0,4,1701,Primer Ciclo 2017,,13001,1,53.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,350,ETICA GENERAL (CFI),93,93.0,4,1702,Interciclo 2017,,13001,1,21.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,352,ETICA SOCIAL (CFI),96,96.0,2,1703,Segundo Ciclo 2017,,13001,3,21.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21209,MATEMATICA DISCRETA II (11001),78,78.0,4,1703,Segundo Ciclo 2017,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21177,METROLOGIA (11001),85,85.0,2,1703,Segundo Ciclo 2017,,13001,1,3.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,358,SOCIEDAD INCLUYENTE Y ECONOMIA (CFI),69,69.0,2,1703,Segundo Ciclo 2017,,13001,3,21.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,354,SOCIEDAD DEMOCRATICA Y CIUDADANIA (CFI),88,88.0,2,1801,Primer Ciclo 2018,,13001,1,51.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,360,ETICA PROFESIONAL (CFI),99,99.0,2,1802,Interciclo 2018,,13001,3,51.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20838,ORGANIZACION COMPUTACIONAL,66,66.0,4,1803,Segundo Ciclo 2018,(CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20841,ARQUITECTURA DEL COMPUTADOR I,65,65.0,4,1901,Primer Ciclo 2019,(CIENCIAS DE INGENIERIA),18001,1,1.0,1,1ra. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20297,PROBABILIDAD Y ESTADÍSTICA,69,69.0,4,1901,Primer Ciclo 2019,ESTADÍSTICA E INVESTIGACIÓN DE OPERACIONES ( PROFESIONAL),18001,1,2.0,2,2da. convocatoria
15,3115,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,62.33,61.0,3,72.73999786376953,69.93000030517578,34,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20847,TEORIA DE SISTEMAS,78,78.0,4,1902,Interciclo 2019,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),18001,1,2.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),88,88.0,4,1901,Primer Ciclo 2019,,18001,1,21.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),75,75.0,4,1901,Primer Ciclo 2019,,18001,1,21.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20976,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS,93,93.0,2,1901,Primer Ciclo 2019,,18001,1,2.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20295,INTRODUCCIÓN A LA PROGRAMACIÓN,86,86.0,6,1901,Primer Ciclo 2019,QUIMICA (CIENCIAS BASICAS),18001,1,1.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,72,72.0,6,1901,Primer Ciclo 2019,MATEMATICA (CIENCIAS BASICAS),18001,1,1.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,79,79.0,6,1901,Primer Ciclo 2019,QUÍMICA (CIENCIAS BASICAS),18001,1,1.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20650,MATEMATICA DISCRETA I,73,73.0,4,1902,Interciclo 2019,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),18001,1,3.0,1,1ra. convocatoria
19,3519,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.17,80.71,6,81.37999725341797,80.33000183105469,8,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,85,85.0,4,1902,Interciclo 2019,MATEMÁTICA (CIENCIAS BASICAS),18001,1,8.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),82,82.0,4,1401,Primer Ciclo 2014,,13001,1,24.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),71,71.0,4,1401,Primer Ciclo 2014,,13001,1,24.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21207,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS (11001),84,84.0,2,1401,Primer Ciclo 2014,INFORMÁTICA (INGENIERÍA APLICADA),13001,1,1.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20995,INTRODUCCION A LA PROGRAMACION (11001),72,72.0,6,1401,Primer Ciclo 2014,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,2.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20987,MATEMATICA I (11001),86,86.0,6,1401,Primer Ciclo 2014,MATEMÁTICA (CIENCIAS BASICAS),13001,1,4.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20988,QUIMICA I (11001),78,78.0,6,1401,Primer Ciclo 2014,QUÍMICA (CIENCIAS BASICAS),13001,1,4.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,378,MAGIS LANDIVARIANO (CFI),93,93.0,2,1402,Interciclo 2014,,13001,1,56.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21208,MATEMATICA DISCRETA I (11001),74,74.0,4,1402,Interciclo 2014,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),13001,1,2.0,2,2da. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20990,MATEMATICA II (11001),66,66.0,4,1402,Interciclo 2014,MATEMÁTICA (CIENCIAS BASICAS),13001,1,5.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20992,CALCULO I (11001),76,76.0,6,1501,Primer Ciclo 2015,MATEMÁTICA (CIENCIAS BASICAS),13001,1,2.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20994,FISICA I (11001),79,79.0,6,1501,Primer Ciclo 2015,FÍSICA (CIENCIAS BASICAS),13001,1,3.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21209,MATEMATICA DISCRETA II (11001),67,67.0,4,1403,Segundo Ciclo 2014,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),13001,1,2.0,2,2da. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21210,PROGRAMACION AVANZADA (11001),85,85.0,6,1403,Segundo Ciclo 2014,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,342,ESTRATEGIAS BASICAS DE INVESTIGACION (CFI),96,96.0,4,1501,Primer Ciclo 2015,,13001,1,22.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21238,ESTRUCTURA DE DATOS I (11001),90,90.0,4,1501,Primer Ciclo 2015,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
14,5714,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,75.5,75.5,4,74.7699966430664,73.29000091552734,61,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,346,JUVENTUD Y VIDA SALUDABLE (CFI),88,88.0,4,1501,Primer Ciclo 2015,,13001,1,21.0,1,1ra. convocatoria
